DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,test
9,5,1653,1648,1809,1806,YES
10,6,1648,1648,1755,1806,NO
11,7,1648,1648,1815,1806,YES
13,2,1647,1648,1808,1806,YES
14,3,1647,1648,1810,1806,YES
17,6,1647,1648,1805,1806,NO
18,7,1647,1648,1810,1806,YES
19,1,1647,1648,1814,1806,YES
20,2,1648,1648,1807,1806,YES
21,3,1646,1648,1806,1806,NO
22,4,1647,1648,1822,1806,YES
23,5,1648,1648,1813,1806,YES
24,6,1649,1648,1806,1806,NO
25,7,1640,1648,1807,1806,YES
26,1,1647,1648,1806,1806,NO
27,2,1705,1648,1827,1806,YES
28,3,1656,1656,1818,1821,NO
30,5,1659,1656,1817,1821,NO
31,6,1655,1656,1811,1821,NO
1,4,2028,2016,2153,2132,YES
4,7,2101,2016,2224,2132,YES
5,1,2028,2016,2154,2132,YES
6,2,2020,2016,2145,2132,YES
7,3,2016,2016,2133,2132,YES
8,4,2015,2016,2135,2132,YES
9,5,2057,2016,2219,2132,YES
11,7,2019,2016,2143,2132,YES
12,1,2021,2016,2139,2132,YES
13,2,2015,2016,2130,2132,NO
14,3,2015,2016,2134,2132,YES
15,4,2022,2016,2141,2132,YES
16,5,2017,2016,2137,2132,YES
18,7,2028,2016,2149,2132,YES
19,1,2016,2016,2137,2132,YES
20,2,2015,2016,2140,2132,YES
21,3,2015,2016,2139,2132,YES
22,4,2052,2016,2225,2132,YES
23,5,2035,2016,2155,2132,YES
25,7,2037,2016,2202,2132,YES
26,1,2040,2016,2212,2132,YES
27,2,2022,2016,2147,2132,YES
28,3,2033,2025,2202,2141,YES
29,4,2024,2025,2139,2141,NO
30,5,2024,2025,2150,2141,YES
1,4,825,815,942,928,YES
2,5,813,815,926,928,NO
3,6,814,815,929,928,YES
4,7,816,815,931,928,YES
5,1,818,815,929,928,YES
6,2,832,815,942,928,YES
7,3,842,815,954,928,YES
8,4,819,815,939,928,YES
9,5,815,815,928,928,NO
11,7,813,815,922,928,NO
12,1,815,815,930,928,YES
13,2,826,815,953,928,YES
14,3,824,815,948,928,YES
15,4,838,815,1007,928,YES
16,5,822,815,942,928,YES
17,6,813,815,936,928,YES
18,7,815,815,928,928,NO
19,1,824,815,940,928,YES
20,2,816,815,930,928,YES
21,3,813,815,927,928,NO
22,4,821,815,944,928,YES
23,5,816,815,934,928,YES
24,6,814,815,926,928,NO
25,7,813,815,923,928,NO
26,1,817,815,934,928,YES
27,2,816,815,930,928,YES
28,3,814,815,936,932,YES
29,4,816,815,935,932,YES
30,5,813,815,929,932,NO
31,6,814,815,921,932,NO
1,4,955,953,1117,1106,YES
2,5,952,953,1106,1106,NO
3,6,953,953,1110,1106,YES
4,7,952,953,1107,1106,YES
5,1,952,953,1112,1106,YES
6,2,954,953,1112,1106,YES
7,3,1009,953,1126,1106,YES
8,4,952,953,1115,1106,YES
9,5,953,953,1114,1106,YES
11,7,952,953,1117,1106,YES
12,1,952,953,1119,1106,YES
13,2,1005,953,1127,1106,YES
14,3,1000,953,1121,1106,YES
15,4,1020,953,1145,1106,YES
16,5,958,953,1115,1106,YES
17,6,952,953,1110,1106,YES
18,7,952,953,1114,1106,YES
19,1,954,953,1118,1106,YES
20,2,953,953,1109,1106,YES
21,3,951,953,1110,1106,YES
22,4,958,953,1124,1106,YES
23,5,953,953,1114,1106,YES
24,6,952,953,1114,1106,YES
25,7,952,953,1108,1106,YES
26,1,952,953,1107,1106,YES
27,2,953,953,1109,1106,YES
28,3,957,957,1118,1109,YES
29,4,956,957,1117,1109,YES
30,5,956,957,1114,1109,YES
31,6,956,957,1117,1109,YES
1,4,1130,1129,1228,1225,YES
2,5,1127,1129,1225,1225,NO
3,6,1129,1129,1229,1225,YES
4,7,1128,1129,1227,1225,YES
5,1,1128,1129,1227,1225,YES
6,2,1128,1129,1230,1225,YES
7,3,1140,1129,1244,1225,YES
8,4,1129,1129,1236,1225,YES
9,5,1127,1129,1219,1225,NO
11,7,1130,1129,1229,1225,YES
12,1,1132,1129,1239,1225,YES
13,2,1136,1129,1238,1225,YES
14,3,1133,1129,1232,1225,YES
15,4,1157,1129,1257,1225,YES
16,5,1133,1129,1234,1225,YES
17,6,1127,1129,1227,1225,YES
18,7,1129,1129,1235,1225,YES
19,1,1138,1129,1241,1225,YES
20,2,1208,1129,1304,1225,YES
21,3,1128,1129,1236,1225,YES
22,4,1149,1129,1249,1225,YES
23,5,1128,1129,1238,1225,YES
24,6,1134,1129,1242,1225,YES
25,7,1132,1129,1229,1225,YES
26,1,1125,1129,1231,1225,YES
27,2,1128,1129,1227,1225,YES
28,3,1137,1134,1233,1232,YES
29,4,1134,1134,1234,1232,YES
30,5,1133,1134,1231,1232,NO
31,6,1132,1134,1235,1232,YES
28,3,1839,1630,1934,1721,YES
29,4,1722,1630,1814,1721,YES
30,5,1637,1630,1733,1721,YES
31,6,1633,1630,1729,1721,YES
1,4,1713,1710,1834,1824,YES
2,5,1711,1710,1834,1824,YES
4,7,1713,1710,1830,1824,YES
5,1,1709,1710,1824,1824,NO
6,2,1711,1710,1836,1824,YES
7,3,1708,1710,1829,1824,YES
8,4,1709,1710,1825,1824,YES
9,5,1716,1710,1841,1824,YES
11,7,1712,1710,1826,1824,YES
12,1,1713,1710,1837,1824,YES
13,2,1709,1710,1827,1824,YES
14,3,1717,1710,1840,1824,YES
15,4,1721,1710,1838,1824,YES
16,5,1721,1710,1849,1824,YES
18,7,1735,1710,1902,1824,YES
20,2,1713,1710,1835,1824,YES
22,4,1718,1710,1843,1824,YES
23,5,1715,1710,1904,1824,YES
25,7,1708,1710,1829,1824,YES
26,1,1709,1710,1824,1824,NO
27,2,1712,1710,1831,1824,YES
28,3,1749,1746,1916,1905,YES
29,4,1831,1746,2003,1905,YES
30,5,1758,1746,1917,1905,YES
1,4,630,630,802,746,YES
5,1,630,630,744,746,NO
6,2,629,630,807,746,YES
7,3,630,630,752,746,YES
8,4,630,630,747,746,YES
12,1,630,630,750,746,YES
13,2,629,630,742,746,NO
14,3,629,630,756,746,YES
15,4,631,630,807,746,YES
16,5,629,630,754,746,YES
19,1,629,630,750,746,YES
20,2,634,630,804,746,YES
21,3,629,630,800,746,YES
22,4,629,630,748,746,YES
23,5,633,630,752,746,YES
26,1,630,630,748,746,YES
27,2,629,630,804,746,YES
28,3,659,630,818,745,YES
